Date,Actual,Goal
9/4/2022,7078,10000
9/5/2022,8682,10000
9/6/2022,5441,10000
9/7/2022,6880,10000
9/8/2022,5507,10000
9/9/2022,11411,10000
9/10/2022,5084,10000
9/11/2022,2195,10000
9/12/2022,1310,10000
9/13/2022,8059,10000
9/14/2022,2503,10000
9/15/2022,5650,10000
9/16/2022,9584,10000
9/17/2022,7103,10000
9/18/2022,899,10000
9/19/2022,2061,10000
9/20/2022,10394,10000
9/21/2022,6975,10000
9/22/2022,9082,10000
9/23/2022,3663,10000
9/24/2022,9886,10000
9/25/2022,4142,10000
9/26/2022,2783,10000
9/27/2022,8718,10000
9/28/2022,3531,10000
9/29/2022,8167,10000
9/30/2022,3162,10000
10/1/2022,3645,10000
10/2/2022,1506,10000
10/3/2022,1189,10000
10/4/2022,5690,10000
10/5/2022,2699,10000
10/6/2022,4915,10000
10/7/2022,6514,10000
10/8/2022,6605,10000
10/9/2022,732,10000
10/10/2022,3720,10000
10/11/2022,4124,10000
10/12/2022,3645,10000
10/13/2022,11744,10000
10/14/2022,7421,10000
10/15/2022,6752,10000
10/16/2022,6386,10000
10/17/2022,1187,10000
10/18/2022,6771,10000
10/19/2022,2757,10000
10/20/2022,2782,10000
10/21/2022,6285,10000
10/22/2022,4518,10000
10/23/2022,3870,10000
10/24/2022,650,10000
10/25/2022,5195,10000
10/26/2022,2832,10000
10/27/2022,9287,10000
10/28/2022,9319,10000
10/29/2022,692,10000
10/30/2022,6583,10000
10/31/2022,2336,10000
11/1/2022,2165,10000
11/2/2022,2577,10000
11/3/2022,3379,10000
11/4/2022,4916,10000
11/5/2022,1615,10000
11/6/2022,3806,10000
11/7/2022,1985,10000
11/8/2022,1866,10000
11/9/2022,3213,10000
11/10/2022,3991,10000
11/11/2022,2166,10000
11/12/2022,4787,10000
11/13/2022,1523,10000
11/14/2022,1277,10000
11/15/2022,3387,10000
11/16/2022,2965,10000
11/17/2022,2699,10000
11/18/2022,3482,10000
11/19/2022,11077,10000
11/20/2022,1713,10000
11/21/2022,1680,10000
11/22/2022,4690,10000
11/23/2022,5294,10000
11/24/2022,4779,10000
11/25/2022,968,10000
11/26/2022,2884,10000
11/27/2022,6195,10000
11/28/2022,1797,10000
11/29/2022,4204,10000
11/30/2022,2716,10000
12/1/2022,5121,10000
12/2/2022,4657,10000
12/3/2022,2604,10000
12/4/2022,703,10000
12/5/2022,2839,10000
12/6/2022,4402,10000
12/7/2022,2978,10000
12/8/2022,4241,10000
12/9/2022,6390,10000
12/10/2022,1629,10000
12/11/2022,1693,10000
12/12/2022,2140,10000
12/13/2022,3399,10000
12/14/2022,1696,10000
12/15/2022,608,10000
12/16/2022,2257,10000
12/17/2022,3147,10000
12/18/2022,1430,10000
12/19/2022,1406,10000
12/20/2022,2966,10000
12/21/2022,2398,10000
12/22/2022,1866,10000
12/23/2022,6579,10000
12/24/2022,5649,10000
12/25/2022,2211,10000
12/26/2022,603,10000
12/27/2022,2584,10000
12/28/2022,5520,10000
12/29/2022,675,10000
12/30/2022,3086,10000
12/31/2022,826,10000
